# Every version that reached main's tip, oldest first. One line per version:
#   version<TAB>date<TAB>source
#
# This file is the authority for "what shipped". It is APPENDED IN THE SAME
# COMMIT AS THE VERSION BUMP, alongside the CHANGELOG entry — see CLAUDE.md's
# "Releasing (two repos)". tests/changelog-coverage.test.js fails the suite when
# the manifest's version is missing here, so the append cannot be forgotten.
#
# Why a recorded file rather than a git walk: reconstructing this from
# `git rev-list --first-parent` is not merely lossy, it is unstable. A branch
# that merges main into itself and then becomes main's tip moves everything main
# carried since the fork point onto the second parent, where the walk never
# looks. Versions therefore LEAVE the reconstructed set as later merges land,
# and the same repository gives contradictory answers depending on which merge
# happened last (#144).
#
# Backfilled 2026-08-06 by unioning the first-parent walks from three refs known
# to have been main's tip (origin/main, 65531d88, 3bf55c68) with the marketplace
# repo's per-commit plugins[0].version — an independent repository, one commit
# per release, written at ship time. `source` records which of those bore
# witness; `release` marks every line appended at ship time since.
5.29.0	2026-07-13	walk
6.0.0	2026-07-14	mirror+walk
6.1.0	2026-07-15	mirror
6.4.0	2026-07-17	mirror
6.6.0	2026-07-18	mirror+walk
6.7.0	2026-07-18	walk
6.8.0	2026-07-19	mirror+walk
6.9.0	2026-07-19	mirror
6.10.0	2026-07-20	mirror+walk
6.11.0	2026-07-20	walk
6.11.1	2026-07-20	mirror+walk
6.11.2	2026-07-21	mirror+walk
6.11.3	2026-07-21	walk
6.12.0	2026-07-22	mirror+walk
6.12.1	2026-07-22	mirror+walk
6.13.0	2026-07-22	mirror+walk
6.14.0	2026-07-23	mirror
6.14.1	2026-07-23	mirror
6.15.0	2026-07-24	mirror+walk
6.16.1	2026-07-25	walk
6.16.3	2026-07-26	mirror
6.17.0	2026-07-26	mirror+walk
6.18.0	2026-07-26	mirror+walk
6.19.0	2026-07-26	walk
6.20.0	2026-07-26	walk
6.20.1	2026-07-26	mirror+walk
6.21.0	2026-07-29	mirror+walk
6.22.0	2026-07-29	walk
6.22.1	2026-07-30	mirror+walk
6.23.0	2026-07-30	mirror+walk
6.23.1	2026-07-30	mirror
6.23.2	2026-07-30	mirror+walk
6.24.0	2026-07-30	mirror+walk
6.23.3	2026-07-31	mirror
6.23.4	2026-07-31	mirror+walk
6.23.5	2026-07-31	walk
6.23.6	2026-07-31	mirror+walk
6.23.7	2026-08-02	mirror+walk
6.26.0	2026-08-03	mirror
6.27.0	2026-08-03	walk
6.28.0	2026-08-03	mirror+walk
6.29.0	2026-08-03	walk
6.30.0	2026-08-03	mirror
6.31.0	2026-08-03	mirror+walk
6.32.0	2026-08-04	mirror+walk
6.33.0	2026-08-04	mirror+walk
6.34.0	2026-08-04	mirror+walk
6.35.0	2026-08-04	mirror+walk
6.36.0	2026-08-04	mirror+walk
6.37.0	2026-08-04	mirror+walk
6.37.1	2026-08-05	mirror+walk
6.38.0	2026-08-05	mirror+walk
6.38.1	2026-08-05	mirror+walk
6.38.3	2026-08-06	walk
6.39.0	2026-08-06	mirror+walk
6.39.1	2026-08-06	mirror
6.39.2	2026-08-06	mirror+walk
6.39.3	2026-08-06	mirror+walk
6.39.4	2026-08-06	mirror+walk
6.40.0	2026-08-06	mirror+walk
6.41.0	2026-08-06	mirror+walk
6.42.0	2026-08-06	mirror+walk
6.43.0	2026-08-06	mirror+walk
6.44.0	2026-08-06	mirror+walk
6.45.0	2026-08-06	release
6.46.0	2026-08-06	release
6.45.1	2026-08-07	release
6.47.0	2026-08-07	release
6.48.0	2026-08-07	release
6.48.1	2026-08-07	release
6.49.0	2026-08-07	release
6.50.0	2026-08-07	release
6.50.1	2026-08-07	release
6.50.2	2026-08-07	release
6.51.0	2026-08-07	release
6.51.1	2026-08-07	release
6.52.0	2026-08-07	release
6.53.0	2026-08-07	release
6.54.0	2026-08-07	release
6.55.0	2026-08-07	release
6.56.0	2026-08-07	release
6.57.0	2026-08-07	release
6.57.1	2026-08-07	release
6.58.0	2026-08-07	release
6.59.0	2026-08-07	release
6.59.1	2026-08-07	release
6.60.0	2026-08-07	release
6.61.0	2026-08-07	release
6.61.2	2026-08-08	release
6.61.3	2026-08-08	release
6.62.0	2026-08-08	release
6.63.0	2026-08-08	release
6.64.0	2026-08-08	release
6.64.1	2026-08-08	release
6.64.2	2026-08-08	release
6.65.0	2026-08-08	release
6.65.1	2026-08-08	release
6.65.2	2026-08-08	release
6.67.0	2026-08-08	release
6.67.1	2026-08-08	release
6.68.0	2026-08-08	release
6.68.1	2026-08-08	release
6.64.3	2026-08-08	wip-never-shipped
6.68.2	2026-08-08	release
6.69.0	2026-08-08	release
6.70.0	2026-08-08	release
6.70.1	2026-08-08	release
6.71.0	2026-08-09	release
6.71.1	2026-08-09	release
6.72.0	2026-08-09	release
6.73.0	2026-08-09	release
6.73.1	2026-08-09	release
6.74.0	2026-08-09	release
6.75.0	2026-08-09	wip-never-shipped
6.76.0	2026-08-11	release
6.76.1	2026-08-11	release
6.77.0	2026-08-12	release
6.78.0	2026-08-12	release
6.79.0	2026-08-12	release
6.80.0	2026-08-14	release
6.81.0	2026-08-14	release
6.82.0	2026-08-15	release
6.83.0	2026-08-15	release
6.84.0	2026-08-15	release
6.85.0	2026-08-16	release
6.86.0	2026-08-16	release
6.87.0	2026-08-16	release
6.87.1	2026-08-16	release
6.88.0	2026-08-16	release
6.89.0	2026-08-16	release
6.90.0	2026-08-17	release
6.91.0	2026-08-17	release
6.92.0	2026-08-17	release
6.93.0	2026-08-17	release
6.94.0	2026-08-17	release
6.95.0	2026-08-17	release
6.96.0	2026-08-18	release
6.97.0	2026-08-18	release
6.98.0	2026-08-19	release
6.98.1	2026-08-19	release
6.99.0	2026-08-20	release
6.100.0	2026-08-20	release
6.100.1	2026-08-20	release
6.100.2	2026-08-20	release
6.101.0	2026-08-20	release
6.102.0	2026-08-20	release
6.103.0	2026-08-20	release
6.104.0	2026-08-21	release
6.104.1	2026-08-21	release
6.105.0	2026-08-21	release
6.106.0	2026-08-24	release
6.107.0	2026-08-25	release
6.108.0	2026-08-26	release
6.109.0	2026-08-29	release
6.109.1	2026-08-29	release
6.110.0	2026-08-29	release
6.110.1	2026-08-29	release
